Date,SIEMENS.NS,TCS.NS,SIEMENS.NS,TCS.NS,SIEMENS.NS,TCS.NS,NHPC.NS
2025-05-14,3006.800048828125,3505.5390625,3006.800048828125,3505.5390625,3006.800048828125,3505.5390625,85.44490814208984
2025-05-15,3009.5,3536.359619140625,3009.5,3536.359619140625,3009.5,3536.359619140625,86.42897033691406
2025-05-16,3069.5,3517.98583984375,3069.5,3517.98583984375,3069.5,3517.98583984375,89.17243957519531
2025-05-19,3104.39990234375,3476.0029296875,3104.39990234375,3476.0029296875,3104.39990234375,3476.0029296875,88.45674896240234
2025-05-20,3127.699951171875,3455.752197265625,3127.699951171875,3455.752197265625,3127.699951171875,3455.752197265625,86.09101104736328
2025-05-21,3290.800048828125,3482.917724609375,3290.800048828125,3482.917724609375,3290.800048828125,3482.917724609375,87.09496307373047
2025-05-22,3304.60009765625,3434.711181640625,3304.60009765625,3434.711181640625,3304.60009765625,3434.711181640625,86.97567749023438
2025-05-23,3277.300048828125,3471.853759765625,3277.300048828125,3471.853759765625,3277.300048828125,3471.853759765625,85.45484924316406
2025-05-26,3248.699951171875,3494.27783203125,3248.699951171875,3494.27783203125,3248.699951171875,3494.27783203125,86.53831481933594
2025-05-27,3299.10009765625,3456.147216796875,3299.10009765625,3456.147216796875,3299.10009765625,3456.147216796875,86.69735717773438
2025-05-28,3337.60009765625,3455.1591796875,3337.60009765625,3455.1591796875,3337.60009765625,3455.1591796875,86.22023010253906
2025-05-29,3349.199951171875,3455.5546875,3349.199951171875,3455.5546875,3349.199951171875,3455.5546875,86.55819702148438
2025-05-30,3265.60009765625,3421.2763671875,3265.60009765625,3421.2763671875,3265.60009765625,3421.2763671875,86.88622283935547
2025-06-02,3292.0,3407.842041015625,3292.0,3407.842041015625,3292.0,3407.842041015625,86.79676055908203
2025-06-03,3314.0,3363.784423828125,3314.0,3363.784423828125,3314.0,3363.784423828125,84.58011627197266
2025-06-04,3309.300048828125,3369.465087890625,3309.300048828125,3369.465087890625,3309.300048828125,3369.465087890625,86.58802032470703
2025-06-05,3280.5,3359.6982421875,3280.5,3359.6982421875,3280.5,3359.6982421875,87.10489654541016
2025-06-06,3297.5,3372.75390625,3297.5,3372.75390625,3297.5,3372.75390625,88.77483367919922
2025-06-09,3383.300048828125,3410.326416015625,3383.300048828125,3410.326416015625,3383.300048828125,3410.326416015625,90.38512420654297
2025-06-10,3371.699951171875,3451.187744140625,3371.699951171875,3451.187744140625,3371.699951171875,3451.187744140625,89.17243957519531
2025-06-11,3349.89990234375,3460.1572265625,3349.89990234375,3460.1572265625,3349.89990234375,3460.1572265625,89.73902130126953
2025-06-12,3267.5,3422.584716796875,3267.5,3422.584716796875,3267.5,3422.584716796875,87.09496307373047
2025-06-13,3260.0,3434.0458984375,3260.0,3434.0458984375,3260.0,3434.0458984375,85.54430389404297
2025-06-16,3271.5,3484.474853515625,3271.5,3484.474853515625,3271.5,3484.474853515625,85.98167419433594
2025-06-17,3321.60009765625,3503.41064453125,3321.60009765625,3503.41064453125,3321.60009765625,3503.41064453125,84.56024169921875
2025-06-18,3355.800048828125,3439.7265625,3355.800048828125,3439.7265625,3355.800048828125,3439.7265625,82.03546142578125
2025-06-19,3284.800048828125,3412.41943359375,3284.800048828125,3412.41943359375,3284.800048828125,3412.41943359375,80.38541412353516
2025-06-20,3214.199951171875,3424.07958984375,3214.199951171875,3424.07958984375,3214.199951171875,3424.07958984375,81.81678009033203
2025-06-23,3091.60009765625,3382.122314453125,3091.60009765625,3382.122314453125,3091.60009765625,3382.122314453125,84.69940185546875
2025-06-24,3159.800048828125,3378.932861328125,3159.800048828125,3378.932861328125,3159.800048828125,3378.932861328125,84.93795776367188
2025-06-25,3149.10009765625,3433.14892578125,3149.10009765625,3433.14892578125,3149.10009765625,3433.14892578125,84.4608383178711
2025-06-26,3164.89990234375,3430.1591796875,3164.89990234375,3430.1591796875,3164.89990234375,3430.1591796875,84.86837768554688
2025-06-27,3178.39990234375,3429.461669921875,3178.39990234375,3429.461669921875,3178.39990234375,3429.461669921875,85.03736877441406
2025-06-30,3251.5,3450.290771484375,3251.5,3450.290771484375,3251.5,3450.290771484375,85.29580688476562
2025-07-01,3323.10009765625,3418.10009765625,3323.10009765625,3418.10009765625,3323.10009765625,3418.10009765625,84.95784759521484
2025-07-02,3287.699951171875,3411.7216796875,3287.699951171875,3411.7216796875,3287.699951171875,3411.7216796875,84.20240020751953
2025-07-03,3311.699951171875,3389.2978515625,3311.699951171875,3389.2978515625,3311.699951171875,3389.2978515625,84.4608383178711
2025-07-04,3292.39990234375,3408.233642578125,3292.39990234375,3408.233642578125,3292.39990234375,3408.233642578125,84.5304183959961
2025-07-07,3278.199951171875,3400.160888671875,3278.199951171875,3400.160888671875,3278.199951171875,3400.160888671875,83.93402099609375
2025-07-08,3296.800048828125,3394.679443359375,3296.800048828125,3394.679443359375,3296.800048828125,3394.679443359375,87.43292236328125
2025-07-09,3218.300048828125,3372.355224609375,3218.300048828125,3372.355224609375,3218.300048828125,3372.355224609375,87.76094818115234
2025-07-10,3191.60009765625,3370.561279296875,3191.60009765625,3370.561279296875,3191.60009765625,3370.561279296875,86.99555969238281
2025-07-11,3117.699951171875,3254.95361328125,3117.699951171875,3254.95361328125,3117.699951171875,3254.95361328125,87.52238464355469
2025-07-14,3152.60009765625,3211.800048828125,3152.60009765625,3211.800048828125,3152.60009765625,3211.800048828125,88.24800872802734
2025-07-15,3146.800048828125,3241.300048828125,3146.800048828125,3241.300048828125,3146.800048828125,3241.300048828125,87.57208251953125
2025-07-16,3089.300048828125,3233.10009765625,3089.300048828125,3233.10009765625,3089.300048828125,3233.10009765625,88.04920959472656
2025-07-17,3110.300048828125,3209.199951171875,3110.300048828125,3209.199951171875,3110.300048828125,3209.199951171875,87.31363677978516
2025-07-18,3128.39990234375,3189.89990234375,3128.39990234375,3189.89990234375,3128.39990234375,3189.89990234375,86.50849151611328
2025-07-21,3154.800048828125,3158.199951171875,3154.800048828125,3158.199951171875,3154.800048828125,3158.199951171875,87.00550079345703
2025-07-22,3141.800048828125,3159.60009765625,3141.800048828125,3159.60009765625,3141.800048828125,3159.60009765625,85.81269073486328
2025-07-23,3143.10009765625,3179.10009765625,3143.10009765625,3179.10009765625,3143.10009765625,3179.10009765625,85.9617919921875
2025-07-24,3129.0,3148.0,3129.0,3148.0,3129.0,3148.0,85.32562255859375
2025-07-25,3038.199951171875,3135.800048828125,3038.199951171875,3135.800048828125,3038.199951171875,3135.800048828125,82.97977447509766
2025-07-28,3061.60009765625,3079.300048828125,3061.60009765625,3079.300048828125,3061.60009765625,3079.300048828125,83.19844818115234
2025-07-29,3068.0,3056.0,3068.0,3056.0,3068.0,3056.0,83.53641510009766
2025-07-30,3071.39990234375,3053.60009765625,3071.39990234375,3053.60009765625,3071.39990234375,3053.60009765625,83.95389556884766
2025-07-31,3033.39990234375,3036.800048828125,3033.39990234375,3036.800048828125,3033.39990234375,3036.800048828125,82.75114440917969
2025-08-01,3023.60009765625,3003.0,3023.60009765625,3003.0,3023.60009765625,3003.0,82.74120330810547
2025-08-04,2993.60009765625,3074.39990234375,2993.60009765625,3074.39990234375,2993.60009765625,3074.39990234375,82.98970794677734
2025-08-05,3081.0,3063.89990234375,3081.0,3063.89990234375,3081.0,3063.89990234375,84.71928405761719
2025-08-06,3083.89990234375,3032.300048828125,3083.89990234375,3032.300048828125,3083.89990234375,3032.300048828125,83.48670959472656
2025-08-07,3117.0,3047.0,3117.0,3047.0,3117.0,3047.0,82.91019439697266
2025-08-08,3031.800048828125,3036.39990234375,3031.800048828125,3036.39990234375,3031.800048828125,3036.39990234375,81.28995513916016
2025-08-11,3114.800048828125,3040.800048828125,3114.800048828125,3040.800048828125,3114.800048828125,3040.800048828125,82.94994354248047
2025-08-12,3135.10009765625,3035.39990234375,3135.10009765625,3035.39990234375,3135.10009765625,3035.39990234375,83.40719604492188
2025-08-13,3150.699951171875,3036.199951171875,3150.699951171875,3036.199951171875,3150.699951171875,3036.199951171875,84.5999984741211
2025-08-14,3169.0,3022.300048828125,3169.0,3022.300048828125,3169.0,3022.300048828125,82.31999969482422
2025-08-18,3118.0,3011.199951171875,3118.0,3011.199951171875,3118.0,3011.199951171875,82.77999877929688
2025-08-19,3133.199951171875,3016.199951171875,3133.199951171875,3016.199951171875,3133.199951171875,3016.199951171875,82.08999633789062
2025-08-20,3155.10009765625,3098.60009765625,3155.10009765625,3098.60009765625,3155.10009765625,3098.60009765625,82.76000213623047
2025-08-21,3197.199951171875,3102.60009765625,3197.199951171875,3102.60009765625,3197.199951171875,3102.60009765625,81.83000183105469
2025-08-22,3173.199951171875,3054.0,3173.199951171875,3054.0,3173.199951171875,3054.0,80.70999908447266
2025-08-25,3164.60009765625,3140.60009765625,3164.60009765625,3140.60009765625,3164.60009765625,3140.60009765625,79.5999984741211
2025-08-26,3048.0,3157.199951171875,3048.0,3157.199951171875,3048.0,3157.199951171875,79.83999633789062
2025-08-27,3048.0,3157.199951171875,3048.0,3157.199951171875,3048.0,3157.199951171875,79.83999633789062
2025-08-28,3043.199951171875,3093.699951171875,3043.199951171875,3093.699951171875,3043.199951171875,3093.699951171875,78.33999633789062
2025-08-29,3063.699951171875,3084.699951171875,3063.699951171875,3084.699951171875,3063.699951171875,3084.699951171875,77.2300033569336
2025-09-01,3138.89990234375,3112.60009765625,3138.89990234375,3112.60009765625,3138.89990234375,3112.60009765625,78.55999755859375
